order,room,file
0,exterior,video.png
1,exterior,01.png
2,exterior,02.png
3,exterior,03.png
4,living-room,04.png
5,living-room,05.png
6,living-room,06.png
7,living-room,07.png
8,living-room,08.png
9,living-room,09.png
10,living-room,floor-plan.png
